"fire.name","salvaged","planted","area.ha","area_prop","pltd.yr0_prop","pltd.yr1_prop","pltd.yr2_prop","pltd.yr3_prop","pltd.yr4_prop","pltd.later_prop","site.prepped_prop","released.0x_prop","released.1x_prop","released.2x_prop","released.morex_prop","replanted.0x_prop","replanted.1x_prop","replanted.morex_prop","thinned.0x_prop","thinned.1x_prop","thinned.morex_prop","pruned.0x_prop","pruned.morex_prop"
"CONE",TRUE,FALSE,92.3669225000001,0.18,0,0,0,0,0,0,0,0.17,0.01,0,0,0.18,0,0,0.18,0,0,0.18,0
"CONE",TRUE,TRUE,416.036330000001,0.8,0,0,0.59,0.2,0,0,0.06,0.05,0.13,0.1,0.52,0.32,0,0,0.73,0,0.06,0.8,0
"COTTONWOOD",FALSE,TRUE,870.684067499999,0.08,0,0.05,0,0.01,0.02,0,0.02,0.04,0.03,0.01,0,0.04,0.02,0.02,0.08,0.01,0,0.08,0
"COTTONWOOD",TRUE,FALSE,3040.004442,0.3,0,0,0,0,0,0,0.26,0.25,0.02,0.01,0.01,0.24,0.06,0,0.26,0.01,0.02,0.3,0
"COTTONWOOD",TRUE,TRUE,6341.65571399999,0.62,0.01,0.03,0.19,0.33,0.07,0,0.06,0.23,0.21,0.09,0.08,0.27,0.22,0.08,0.54,0.03,0.05,0.62,0
"FREDS",FALSE,TRUE,280.1005485,0.22,0,0.1,0.09,0.02,0,0,0,0,0.01,0,0.21,0.02,0.11,0.05,0.14,0.08,0,0.14,0.08
"FREDS",TRUE,FALSE,670.815932499998,0.52,0,0,0,0,0,0,0.06,0.47,0.02,0.01,0.02,0.49,0.03,0,0.49,0.03,0,0.52,0
"FREDS",TRUE,TRUE,333.941177999998,0.26,0,0.01,0.1,0.16,0,0,0.04,0,0.01,0.03,0.22,0.02,0.15,0.06,0.24,0.01,0,0.25,0.01
"GOVERNMENT, WESTVILLE",FALSE,TRUE,458.8438225,0.6,0,0.13,0.46,0,0,0,0.03,0.13,0.46,0.01,0,0.43,0.16,0,0.54,0.03,0.03,0.6,0
"GOVERNMENT, WESTVILLE",TRUE,FALSE,177.888547499999,0.23,0,0,0,0,0,0,0.03,0.22,0,0.01,0,0.23,0,0,0.22,0.01,0,0.23,0
"GOVERNMENT, WESTVILLE",TRUE,TRUE,132.655278,0.17,0,0.02,0.08,0.05,0.01,0,0.03,0.04,0.13,0,0,0.08,0.09,0,0.14,0.02,0.01,0.17,0
"HAMM 87 CMPLX",FALSE,TRUE,2929.279629,0.9,0,0.01,0.04,0.03,0.01,0.44,0.01,0.01,0.51,0.31,0.07,0.5,0.34,0.05,0.56,0,0.34,0.9,0
"HAMM 87 CMPLX",TRUE,FALSE,172.570192500001,0.05,0,0,0,0,0,0,0.02,0.05,0,0,0,0.05,0,0,0.05,0.01,0,0.05,0
"HAMM 87 CMPLX",TRUE,TRUE,144.548741,0.04,0,0,0,0,0,0.03,0.01,0,0.02,0.01,0.02,0.02,0.01,0,0.01,0,0.03,0.04,0
"INDIAN",FALSE,TRUE,209.118291,0.11,0.04,0.06,0,0,0,0,0,0.02,0.02,0.05,0.03,0.07,0.04,0,0.03,0.09,0,0.11,0
"INDIAN",TRUE,FALSE,208.618161499999,0.11,0,0,0,0,0,0,0.01,0.11,0,0,0,0.11,0,0,0.11,0,0,0.11,0
"INDIAN",TRUE,TRUE,1430.1638175,0.77,0.02,0.05,0.3,0.17,0.16,0.07,0,0,0.07,0.2,0.5,0.7,0.05,0.02,0.1,0.56,0.12,0.77,0
"LAYMAN",FALSE,TRUE,88.7655085000004,0.1,0.01,0.01,0,0.07,0.02,0,0,0.04,0.04,0,0.02,0.08,0.02,0,0.1,0,0,0.1,0
