"Regen_Plot","Fire","Year.of.Fire","survey_years_post","Easting","Northing","SHRUB","dominant_shrub_ht_cm"
"FRD0900090","FREDS",2004,5,736394.26,4295882.65,31,65
"FRD0900091","FREDS",2004,5,736599.35,4295890.24,65,30
"FRD0900092","FREDS",2004,5,736799.47,4295892.87,30,50
"FRD0900095","FREDS",2004,5,731799.59,4295532.51,0.5,50
"FRD0900096","FREDS",2004,5,731998.93,4295536.71,1,100
"FRD0900097","FREDS",2004,5,732801.11,4295569.46,42,30
"FRD0900098","FREDS",2004,5,733000.23,4295573.93,5,95
"FRD0900100","FREDS",2004,5,733599.5,4295589.34,75,240
"FRD0900102","FREDS",2004,5,734001.36,4295605.12,11,50
"FRD0900103","FREDS",2004,5,734199.59,4295612.17,20,30
"FRD0900107","FREDS",2004,5,735202.1,4295642.08,32,30
"FRD0900108","FREDS",2004,5,736206.51,4295675.23,17,320
"FRD0900109","FREDS",2004,5,737003.31,4295703.04,7,80
"FRD0900118","FREDS",2004,5,734208.69,4295411.63,10,30
"FRD0900119","FREDS",2004,5,734410.05,4295415.74,15,170
"FRD0900123","FREDS",2004,5,735409.21,4295449.35,90,40
"FRD0900124","FREDS",2004,5,735609.38,4295453.59,40,30
"FRD1200030","FREDS",2004,8,736272.23,4296281.37,9,40
"FRD1200031","FREDS",2004,8,736469.33,4296293.06,26,90
"FRD1200049","FREDS",2004,8,737276.14,4296113.54,51,40
"FRD1200064","FREDS",2004,8,735492.08,4295853.1,97,200
"FRD1200065","FREDS",2004,8,735684.89,4295863.72,86,40
"FRD1200066","FREDS",2004,8,735782.28,4296060.6,33,30
"FRD1200067","FREDS",2004,8,736182.96,4296088.45,12,35
"FRD1200080","FREDS",2004,8,734091.4,4295611.86,40,33
"FRD1200092","FREDS",2004,8,736897.15,4295701.99,30,120
"FRD1200099","FREDS",2004,8,733493.64,4295390.3,95,180
"FRD1200102","FREDS",2004,8,734093.6,4293414.18,37,109
"FRD1200108","FREDS",2004,8,736300.07,4295489.31,45,500
"FRD1200117","FREDS",2004,8,734097.44,4293209.73,35,35
"FRD1200124","FREDS",2004,8,735700.74,4295262.29,30,150
"FRD1200302","FREDS",2004,8,737087.78,4296353.14,32,50
"FRN1200090","FREDS",2004,8,733084.75,4295351.17,45,210
"FRN1200091","FREDS",2004,8,733282.77,4295345.56,3,80
"FRN1200221","FREDS",2004,8,735993.7,4296140.54,25,60
"HAR1000002","HARDING",2005,5,727693.26,4388383.66,0,NA
"HAR1000006","HARDING",2005,5,729686.41,4388849.93,59,6
"HAR1000011","HARDING",2005,5,729879.81,4389055.97,0.5,49
"HAR1000017","HARDING",2005,5,729068.13,4389225.18,1,60
"HAR1000018","HARDING",2005,5,729270.55,4389240.64,3,20
"HAR1000019","HARDING",2005,5,729467.6,4389242.7,0,NA
"HAR1000020","HARDING",2005,5,729667.54,4389248.78,9,20
"HAR1000023","HARDING",2005,5,729662.31,4389448.97,5,30
"HAR1000024","HARDING",2005,5,729866.72,4389454.71,0,NA
"HAR1000025","HARDING",2005,5,729660.74,4389646.18,27,90
"HAR1000028","HARDING",2005,5,730048.97,4390061.01,5,50
"HAR1000029","HARDING",2005,5,730257.23,4390089.32,0,NA
"HAR1000036","HARDING",2005,5,729834.73,4390455.57,17,10
"HAR1000037","HARDING",2005,5,730031.31,4390457.18,9,10
"HAR1000039","HARDING",2005,5,730225.68,4390669.13,1,30
"HAR1000041","HARDING",2005,5,729413.72,4390839.77,24,50
"HAR1000045","HARDING",2005,5,730212.51,4390867.07,0,NA
"HAR1000047","HARDING",2005,5,730610.64,4391080.48,32,10
"HAR1000050","HARDING",2005,5,730209.85,4391264.2,48,10
"HAR1000061","HARDING",2005,5,730184.43,4391863.31,1,55
"HAR1000065","HARDING",2005,5,729365.13,4392237.73,34,70
"HAR1000066","HARDING",2005,5,728965.92,4392429.78,26,20
"HAR1000067","HARDING",2005,5,728952.02,4392623.67,1,40
"MOO1200289","MOONLIGHT",2007,5,695761.09,4447780.24,15,35
"MOO1200290","MOONLIGHT",2007,5,695560.95,4447782.79,60,60
"MOO1200291","MOONLIGHT",2007,5,695359.5,4447787.93,0.5,65
"MOO1200316","MOONLIGHT",2007,5,695367.6,4447988.87,20,60
"MOO1200415","MOONLIGHT",2007,5,699468.22,4449176.8,71,85
"MOO1200416","MOONLIGHT",2007,5,699265.27,4449176.5,0,NA
"MOO1200453","MOONLIGHT",2007,5,695969.21,4450171.82,40,100
"MOO1200456","MOONLIGHT",2007,5,699961.14,4449387.61,45,170
"MOO1200457","MOONLIGHT",2007,5,699759.35,4449380.45,45,70
