"Regen_Plot","Fire","Year.of.Fire","survey_years_post","SHRUB","dominant_shrub_ht_cm","X","Y","normal_annual_precip","tmax","tmin","tmean","elev","tpi100","tpi500","tpi2000","tpi5000","twi","slope_dem","aspect_dem","rad_winter","rad_winter_spring","rad_spring","rad_spring_summer","rad_summer"
"PWR0900081","POWER",2004,5,35,50,-19712.3471791576,54537.4611872593,1292.05643287148,17.1264361691278,4.92573288789138,11.0260846663196,1727.84582586749,2.7216757810678,28.2656806793273,93.7575179132524,101.594705379403,4.60223115117055,16.1727937847084,326.889947196303,1602.5814986781,2674.64084367787,5424.92767128116,8323.96626381738,9505.10596342194
"PWR0900086","POWER",2004,5,40,130,-26112.7779951497,54339.2275499296,1233.90221369042,18.4078970444104,5.07661987596004,11.7422581654035,1572.77686467971,1.11928359650149,3.18544581653283,22.9110286251263,73.4743138710496,6.34986855295716,12.0400188731293,205.772153061431,4229.99245136191,5389.31576749251,7645.71461263347,9285.13824649411,9735.72228929123
"PWR0900088","POWER",2004,5,15,90,-25513.4064722,54340.6659402098,1220.23835394093,18.4948934242305,5.03089342037889,11.7628931857822,1557.98317482026,1.53994094894085,8.17915663834707,44.2991177187211,68.8638110072878,5.95645253622626,21.6810528925132,159.429308792027,5243.49299873029,6364.87971180073,8206.7433787316,9257.05332156559,9397.48519854833
"PWR0900089","POWER",2004,5,73,170,-25316.7983826318,54341.075222638,1217.28179397565,18.7492062618789,5.06538915796888,11.907297618795,1519.4405292753,-0.506825883940149,5.64961939743163,19.2220881690754,32.8889592734289,7.15407191607417,30.3712890220189,148.502880889763,5635.20049380216,6699.96402976338,8291.61893956788,9048.54763397467,9028.31377032092
"PWR0900090","POWER",2004,5,30,30,-25112.8385036192,54338.4199752994,1215.96999219524,19.0528374181736,5.10709145699408,12.0799643226144,1470.86106103023,0.155562423892196,-2.1479349887448,-13.7953848716627,-12.8377718425232,7.10858154149361,24.129010471331,154.264304120242,5308.9059612089,6311.52844805897,8198.64610602914,9205.03324560813,9278.31326679332
"PWR0900091","POWER",2004,5,20,40,-24912.136134274,54340.6585715832,1214.98038467632,19.1949773426083,5.12855590122229,12.161767098215,1446.9922999938,0.811683764316759,3.52437327962773,-20.6692514558693,-33.365698089803,6.76132380058798,21.7939699750096,189.615026849932,5271.13658591215,6412.26495591575,8298.72863320629,9253.51691358806,9357.63429179684
"PWR0900094","POWER",2004,5,0,NA,-22512.7787474428,54344.0151615585,1223.42771409958,17.6050505654503,4.80597345890638,11.2055120823336,1689.42344946129,-0.72490721769916,-5.11713421815467,82.5460615468061,182.637242156081,6.99963423459361,18.4894947936811,199.589302662909,4970.75805335072,6095.85310944231,8118.70136876639,9327.45679815113,9552.88034043109
"PWR0900098","POWER",2004,5,12,30,-21113.2128164168,54339.3369404362,1257.23339646718,17.1517428077605,4.81989465730915,10.985818904331,1746.25994398927,0.816885333430405,23.6406509339461,107.830823785441,193.612239942309,5.61396263498743,15.7389077823641,232.730116143647,4071.02845915276,5232.72267978216,7518.48408772251,9226.52489115537,9716.91298386041
"PWR0900099","POWER",2004,5,40,30,-20913.8816560137,54339.7837698879,1259.7630054769,17.3780342042594,4.92634497837935,11.1521894217741,1709.15932407616,0.17964503059904,9.11045416215212,69.3423481017598,149.314873764989,5.66564307231372,28.4737005940957,114.242078930512,4050.10229991888,5334.2178747288,7477.68648524654,8898.06458860186,9286.82235958263
"PWR0900100","POWER",2004,5,3,135,-20714.1619731435,54341.1292042932,1262.24088834318,17.8761798102398,5.11196863263876,11.494074333213,1630.45674880888,-0.103830358693336,-16.6211246169932,-11.0382593229999,62.3171314398821,6.87531850237494,21.1007817629622,122.130206046518,4086.74009463718,5358.69643648203,7475.42933503215,9092.10152994112,9425.40441599477
