"FIRE_YEAR","FIRE_NAME","VB_ID","NUM_ASSESS","NIFMID_LNK","AGENCY","ICS_CODE","EDIT_DATE"
"1985","RICH BAR","1985RICH_BAR",1,"USF05131985000021","USF","SQF",20080515
"1985","RIVER","1985RIVER",1,"USF05161985000125","USF","STF",0
"1985","SECO","1985SECO",2,"CDF05001985000188","CDF","BEU",20080516
"1985","SUGARLOAF","1985SUGARLOAF",1,"NPS05001985000042","NPS","KNP",20140624
"1985","SUMMIT","1985SUMMIT",1,"USF05161985000112","USF","STF",20040719
"1985","TRELOAR COMPLEX","1985TRELOAR_CMPLX",1,"USF05141985000205","USF","SHF",20070601
"1985","WHEELER #2","1985WHEELER2",1,"CCO05001985000459","CCO","VNC",20080515
"1985","WIZARD","1985WIZARD",1,"USF05071985000017","USF","LPF",20080515
"1986"," ","1986USF0502198600000A",1,"USF0502198600000A","USF","CNF",20080516
"1986","1986CAENF00000082","1986CAENF00000082",1,"USF05031986000082","USF","ENF",20040213
"1986","1986CATOI00000029","1986CATOI00000029",1,"USF05211986000029","USF","TOI",20040213
"1986","BALDY","1986BALDY",1,"NPS05001986000043","NPS","KNP",20140612
"1986","BOTTCHER","1986BOTTCHER",1,"USF05071986000044","USF","LPF",20080516
"1986","CAMP CREEK","1986CAMP_CREEK",1,"NPS05001986000022","NPS","KNP",20140612
"1986","CAPITAN","1986CAPITAN",1,"USF05021986000034","USF","CNF",20080516
"1986","CASCADE CREEK","1986CASCADE_CREEK",1,"NPS05001986000029","NPS","YNP",20040816
"1986","DEER","1986DEER",1,"USF05151986000086","USF","SNF",20041004
"1986","ELEANOR","1986ELEANOR",1,"NPS05001986000052","NPS","YNP",20040816
"1986","GLACIER POINT","1986GLACIER_POINT",1,"NPS05001986000016","NPS","YNP",20040816
"1986","RIVERSIDE","1986RIVERSIDE",1,"USF05161986000023","USF","STF",0
"1986","SAN FRANCISQUITO FIRE","1986SAN_FRANCISQUITO",1,"CCO05001986000486","CCO","LAC",20080516
"1986","SLATE","1986SLATE",1,"USF05171986000013","USF","TNF",0
"1986","SYCAMORE","1986SYCAMORE",1,"USF05151986000040","USF","SNF",0
"1986","TECALOTE","1986TECALOTE",1,"USF05011986000046","USF","ANF",20080525
"1986","W TURNER","1986W_TURNER",1,"NPS05001986000027","NPS","YNP",20040816
"1987"," ","1987USF05141987000282",1,"USF05141987000282","USF","SHF",20070601
"1987"," ","1987USF0515198700000A",1,"USF0515198700000A","USF","SNF",20080520
"1987","1987CATOI00000119","1987CATOI00000119",1,"USF05211987000119","USF","TOI",20040213
"1987","ASSIST P.N.F.","1987ASSIST_PNF",1,"CDF05001987000513","CDF","LMU",20070601
"1987","BEAR","1987BEAR",1,"USF05141987000289","USF","SHF",20070308
"1987","BEARCAT","1987BEARCAT",1,"USF05051987000246","USF","KNF",20070330
"1987","BETTY BLAKE","1987BETTY_BLAKE",1,"NPS05001987000080","NPS","YNP",20040816
"1987","BIG","1987BIG",2,"USF05171987000207","USF","TNF",20040213
"1987","BLAKE","1987BLAKE",1,"USF05101987000047","USF","SRF",20070601
"1987","CAMPGROUND","1987CAMPGROUND",1,"NPS05001987000073","NPS","YNP",20040816
"1987","CEDAR","1987CEDAR",1,"USF05091987000217","USF","MDF",20070307
"1987","CHAWANAKEE","1987CHAWANAKEE",1,"USF05151987000087","USF","SNF",20041005
"1987","CHINA","1987CHINA",1,"USF05151987000187","USF","SNF",20041005
"1987","CHINA","1987CHINA_KNF",2,"USF05051987000307","USF","KNF",20070601
"1987","CHINA","1987CHINA_SHF",1,"USF05141987000300","USF","SHF",20070308
