plot_id,contributor,longitude,latitude,fire_year,sample_year,time_since_fire,distance_seed_source,fire_severity_category,canopy_cover,litter_cover,grass_cover,forb_cover,shrub_cover,count_CADE,count_PIPJ,count_ABCO,count_PSME,count_ABMA,count_PILA,plot_size_CADE,plot_size_PIPJ,plot_size_ABCO,plot_size_PSME,plot_size_ABMA,plot_size_PILA,distance_seed_source_CADE,distance_seed_source_PIPJ,distance_seed_source_PSME,distance_seed_source_ABCO,distance_seed_source_PILA,distance_seed_source_ABMA
D1097C,DJNY,-118.34731000000002,35.479920000000035,2008,2018,10,16,high,5,100,70,5,20,0,1,0,0,0,0,401,401,401,401,401,401,NA,24.9,NA,86,NA,NA
E0068C,DJNY,-120.12662000000003,39.59252,1994,2018,24,27.4,high,0,100,0.5,10,60,0,5,2,0,0,0,401,401,401,401,401,401,NA,35,NA,NA,NA,27.4
E0069C,DJNY,-120.12663000000005,39.59286999999998,1994,2018,24,50,high,0,95,0.5,10,70,0,0,2,0,0,0,401,401,401,401,401,401,NA,50,NA,NA,NA,50
E0072C,DJNY,-120.12697000000004,39.599420000000016,1994,2018,24,117,high,0,95,0.5,0,95,0,1,2,0,1,0,401,401,401,401,401,401,NA,117,NA,334,NA,NA
E0078C,DJNY,-120.12518000000003,39.599090000000025,1994,2018,24,185,high,0,100,0.5,0,95,0,0,0,0,0,0,401,401,401,401,401,401,NA,185,NA,408,NA,NA
E0087C,DJNY,-120.12312000000003,39.599460000000036,1994,2018,24,164,high,0,95,0.5,0,100,0,1,0,0,0,0,401,401,401,401,401,401,NA,164,NA,NA,NA,NA
E0090C,DJNY,-120.12188000000003,39.601290000000006,1994,2018,24,16.2,high,0,100,0.5,0.5,100,0,5,3,0,6,8,401,45.20856820744081,401,401,401,401,NA,16.2,NA,18.2,NA,42.2
A1140C,DJNY,-120.62751000000003,40.155880000000025,2007,2018,11,49,high,0,80,0.5,0.5,95,1,13,1,1,0,0,401,401,401,401,401,401,NA,49,156,NA,NA,NA
A2025C,DJNY,-120.68507000000002,40.159170000000024,2007,2018,11,33.1,high,0,95,5,0.5,95,0,0,0,0,0,0,401,401,401,401,401,401,82,33.1,100.1,NA,169,NA
A2026C,DJNY,-120.67915000000002,40.16071000000001,2007,2018,11,57.7,high,0,100,5,0.5,70,0,0,0,0,0,0,401,401,401,401,401,401,NA,104,57.7,103.2,334,NA
A2029C,DJNY,-120.61973000000003,40.15832,2007,2018,11,29.3,high,0,80,5,0.5,80,0,1,0,0,0,0,401,401,401,401,401,401,NA,29.3,89.2,140,NA,NA
A2030C,DJNY,-120.61847000000003,40.15891000000002,2007,2018,11,103,high,0,80,0.5,0.5,95,0,0,0,0,0,0,401,401,401,401,401,401,NA,103,118.2,NA,NA,NA
A2031C,DJNY,-120.62699000000003,40.129069999999984,2007,2018,11,9.8,high,5,80,10,0.5,60,0,5,0,0,0,0,401,401,401,401,401,401,NA,9.8,NA,83,NA,NA
A2035C,DJNY,-120.61864000000001,40.12243000000004,2007,2018,11,85.4,high,0,95,10,0.5,70,0,0,0,0,0,0,401,401,401,401,401,401,NA,85.4,102.5,101,340,NA
A2039C,DJNY,-120.60558000000003,40.09926,2007,2018,11,42.6,high,0,90,0.5,0.5,90,0,0,0,0,0,0,401,401,401,401,401,401,45.7,46.6,42.6,91.3,NA,NA
A2040C,DJNY,-120.60499000000002,40.09980999999998,2007,2018,11,53.9,high,0,95,0.5,0.5,60,0,0,0,0,0,0,401,401,401,401,401,401,65,53.9,125,163,NA,NA
A2041C,DJNY,-120.60439000000001,40.10092000000003,2007,2018,11,81,high,0,80,0.5,0.5,70,0,0,0,0,0,0,401,401,401,401,401,401,90.2,81,NA,109,NA,NA
A4247C,DJNY,-120.61795000000001,40.11608000000001,2007,2018,11,10.7,high,0.5,90,60,0.5,80,0,2,0,0,0,0,401,401,401,401,401,401,47.5,10.7,24.8,50,83.5,NA
A4245C,DJNY,-120.62482000000003,40.11348,2007,2018,11,41.5,high,0,95,5,0.5,80,0,1,0,0,0,0,401,401,401,401,401,401,NA,41.5,57.9,147.6,NA,NA
A4177C,DJNY,-120.65354000000004,40.158600000000035,2007,2018,11,24,high,5,90,0.5,0.5,90,0,0,0,0,0,0,401,401,401,401,401,401,25.2,24,41,28,NA,NA
A4249C,DJNY,-120.61186000000004,40.09491999999999,2007,2018,11,37.4,high,0,70,5,0.5,80,0,0,0,0,0,0,401,401,401,401,401,401,58,43,37.4,68,97,NA
A4012C,DJNY,-120.84695000000004,40.24273999999999,2007,2018,11,119,high,0,90,0.5,0,95,0,0,0,0,0,0,401,401,401,401,401,401,119,180,121,NA,166,NA
A4167C,DJNY,-120.72682000000002,40.21975000000003,2007,2018,11,46.4,high,0,90,5,0.5,95,0,0,0,0,0,0,401,401,401,401,401,401,48.2,56.2,NA,50.5,46.4,48.4
A4248C,DJNY,-120.61820000000003,40.11578000000002,2007,2018,11,22.6,high,0,95,5,0.5,95,0,0,1,0,0,0,401,401,401,401,401,401,98,22.6,23.2,61,123,NA
B1002C,DJNY,-120.30145000000003,38.48456000000002,2004,2018,14,27,high,10,80,5,0.5,80,0,0,0,0,0,0,401,401,401,401,401,401,69,27,NA,NA,NA,NA
