"PlotID","Species","Distance","Bearing","OMU","Planted","SnagDamage","DBH","TotHeight","LYHeight","LYGrowth","BudScars","Sprouts","CompType","CompCover","CompHeight","Subsample","Comments","DistanceMetric","distance_estimate","DronePlotTree","ExpansionFactor","PlotID_6digit","SlopeDeg","Aspect","SlopeAdjustedDistance","DistanceExpansion","SlopeDistance","HorizontalDistance","DensitySlope","DensityHorizontal"
"C1026T","ABMA",9.8,81,"O","N","SD2",NA,130,121,33,7,NA,"S",30,80,"N",NA,"horizontal",NA,FALSE,1,"C1026T",8.1,289,9.72386474698168,1.00782973179897,9.8767313716299,9.8,24.9409771775094,25.1923042273905
"C1026T","PIJE",6.22,112,"O","U","SD1",NA,129,112,16,6,NA,"S",30,48,"N",NA,"slope",NA,FALSE,1,"C1026T",8.1,289,6.15811797099037,1.01004885409814,6.22,6.15811797099037,24.9409771775094,25.1923042273905
"C1026T","PIJE",7.1,155,"O","Y","SD1",3.5,217,197,29,10,NA,"S",0.5,NA,"N",NA,"horizontal",NA,FALSE,1,"C1026T",8.1,289,7.06590863519551,1.00482476728254,7.13425584770601,7.1,24.9409771775094,25.1923042273905
"C1023C","ABCO",10.35,82,"O","N",NA,NA,50,43,6,7,NA,"S",40,49,"N",NA,"slope",NA,FALSE,1,"C1023C",16.2,36,10.1466006401108,1.02004605947386,10.35,10.1466006401108,24.9409771775094,25.9722390655185
"C1023C","ABCO",10,213,"M","N",NA,NA,71,66,5,8,NA,"S",80,60,"N",NA,"horizontal",NA,FALSE,1,"C1023C",16.2,36,9.6040468539522,1.04122773993807,10.4122773993807,10,24.9409771775094,25.9722390655185
"C1023C","ABCO",5.2,309,"O","N",NA,NA,54,49,4,8,NA,"S",60,35,"N",NA,"horizontal",NA,FALSE,1,"C1023C",16.2,36,5.19944565830941,1.00010661553693,5.20055440079202,5.2,24.9409771775094,25.9722390655185
"C1023T","ABCO",8.6,275,"O","N","N",NA,41,37,4.5,8,NA,"S",70,65,"N",NA,"horizontal",NA,FALSE,1,"C1023T",13.2,285,8.37972022104385,1.02628724744329,8.82607032801232,8.6,24.9409771775094,25.6178283073979
"C1023T","PIJE",3.5,270,"O","Y","N",4,202,180,22,10,NA,"S",40,64,"N",NA,"horizontal",NA,FALSE,1,"C1023T",13.2,285,3.41379901346404,1.02525075032127,3.58837762612443,3.5,24.9409771775094,25.6178283073979
"C1023T","PSME",5.4,282,"O","Y","SD1",NA,89,81,10,8,NA,"S",60,73,"N",NA,"horizontal",NA,FALSE,1,"C1023T",13.2,285,5.25772215460873,1.02706073870156,5.54612798898843,5.4,24.9409771775094,25.6178283073979
"C1023T","PSME",3.7,298,"O","Y","SD2",0.7,75,67,7,8,NA,"F",0.5,22,"N",NA,"horizontal",NA,FALSE,1,"C1023T",13.2,285,3.60725242888977,1.02571141691317,3.79513224257873,3.7,24.9409771775094,25.6178283073979
