"","type","tier","id","lat","long","year","cat","seed","geom"
"152","I",1,"D1101I","39.615258","-120.119055","2",3,"F",c(-120.119055361386, 39.6152575168909)
"153","I",1,"D1104I","39.574501","-120.277986","4",1,"F",c(-120.277985819398, 39.5745012491082)
"154","I",1,"D1105I","39.575863","-120.272749","4",1,"F",c(-120.272749230264, 39.5758629618571)
"155","I",1,"D1106I","39.574517","-120.270997","4",1,"F",c(-120.270996998248, 39.5745168827485)
"156","I",1,"D1107I","39.575867","-120.271002","4",1,"F",c(-120.271001992498, 39.5758668330245)
"157","I",1,"D1108I","39.577217","-120.271007","4",1,"F",c(-120.271006986932, 39.5772167842924)
"158","I",1,"D1109I","39.573171","-120.269245","4",1,"F",c(-120.269244830629, 39.5731707796053)
"159","I",1,"D1110I","39.574521","-120.269250","4",1,"F",c(-120.269249792497, 39.5745207289638)
"160","I",1,"D1111I","39.575871","-120.269255","4",1,"F",c(-120.269254754548, 39.5758706793135)
"161","I",1,"D1112I","39.577221","-120.269260","4",1,"F",c(-120.269259716782, 39.5772206306551)
"162","I",1,"D1113I","39.578571","-120.269265","4",1,"F",c(-120.269264679199, 39.5785705829894)
"163","I",1,"D1114I","39.573175","-120.267498","4",1,"F",c(-120.267497656894, 39.5731746008694)
"164","I",1,"D1115I","39.574525","-120.267503","4",1,"F",c(-120.267502586564, 39.5745245503011)
"165","I",1,"D1116I","39.575875","-120.267508","4",1,"F",c(-120.267507516416, 39.5758745007241)
"166","I",1,"D1117I","39.577224","-120.267512","4",1,"F",c(-120.267512446449, 39.5772244521389)
"167","I",1,"D1118I","39.579924","-120.267522","4",1,"F",c(-120.267522307061, 39.5799243579477)
"168","I",1,"D1119I","39.573178","-120.265750","4",1,"F",c(-120.265750482977, 39.5731783972561)
"169","I",1,"D1120I","39.574528","-120.265755","4",1,"F",c(-120.265755380449, 39.5745283467606)
"170","I",1,"D1121I","39.575878","-120.265760","4",1,"F",c(-120.265760278101, 39.5758782972563)
"171","I",1,"D1122I","39.577228","-120.265765","4",1,"F",c(-120.265765175934, 39.5772282487439)
"172","I",1,"D1123I","39.573182","-120.264003","4",1,"F",c(-120.264003308879, 39.5731821687653)
"173","I",1,"D1124I","39.577232","-120.264018","4",1,"F",c(-120.264017905239, 39.57723202047)
"174","I",1,"D1125I","39.578582","-120.264023","4",1,"F",c(-120.264022771051, 39.5785819730226)
"175","I",1,"D1126I","39.579932","-120.264028","4",1,"F",c(-120.264027637042, 39.5799319265688)
"176","I",1,"D1129I","39.577236","-120.262271","4",1,"F",c(-120.262270634364, 39.5772357673171)
"177","I",1,"D1130I","39.578586","-120.262275","4",1,"F",c(-120.262275467974, 39.5785857199416)
"178","I",1,"D1131I","39.581286","-120.262285","3",4,"F",c(-120.262285135729, 39.5812856281721)
"179","I",1,"D1132I","39.582636","-120.262290","3",4,"F",c(-120.262289969874, 39.5826355837798)
"180","I",1,"D1134I","39.575890","-120.260519","4",1,"F",c(-120.26051856208, 39.5758895375824)
"181","I",1,"D1135I","39.577239","-120.260523","4",1,"F",c(-120.260523363311, 39.5772394892854)
"182","I",1,"D1136I","39.578589","-120.260528","4",1,"F",c(-120.26052816472, 39.5785894419812)
"183","I",1,"D1137I","39.579939","-120.260533","3",4,"F",c(-120.260532966305, 39.5799393956706)
"184","I",1,"D1138I","39.581289","-120.260538","3",4,"F",c(-120.260537768068, 39.5812893503544)
"185","I",1,"D1139I","39.582639","-120.260543","3",4,"F",c(-120.260542570008, 39.5826393060334)
"186","I",1,"D1143I","39.581297","-120.257043","3",3,"F",c(-120.257043032216, 39.581296720078)
"187","I",1,"D1144I","39.582647","-120.257048","3",3,"F",c(-120.257047769745, 39.5826466758983)
"188","I",1,"D1145I","39.583997","-120.257053","3",3,"F",c(-120.257052507449, 39.5839966327146)
"189","I",1,"D1146I","39.585347","-120.257057","3",3,"F",c(-120.257057245327, 39.5853465905278)
"190","I",1,"D1147I","39.579950","-120.255291","3",3,"F",c(-120.255290958876, 39.5799504127243)
"191","I",1,"D1148I","39.581300","-120.255296","3",3,"F",c(-120.255295664027, 39.5813003676193)
"192","I",1,"D1150I","39.588054","-120.253572","3",4,"F",c(-120.253571662981, 39.5880537800473)
"193","I",1,"D1151I","39.586707","-120.251819","3",4,"F",c(-120.251819491811, 39.586707418155)
"194","I",1,"D1152I","39.590757","-120.251833","3",4,"F",c(-120.251833417118, 39.5907573012072)
"195","I",1,"D1154I","39.590761","-120.250086","3",4,"F",c(-120.25008582295, 39.590760874587)
"196","I",1,"D1155I","39.597514","-120.248361","3",3,"F",c(-120.248361118721, 39.5975142488837)
"197","I",1,"D1156I","39.594818","-120.246604","3",3,"F",c(-120.246604271022, 39.594817839369)
"198","I",1,"D1157I","39.598868","-120.246618","3",3,"F",c(-120.246617909444, 39.5988677410737)
"199","I",1,"D1158I","39.590768","-120.246591","3",3,"F",c(-120.246590634107, 39.5907679466954)
"200","I",1,"D1159I","39.592118","-120.246595","3",3,"F",c(-120.246595179578, 39.5921179099179)
"201","I",1,"D1160I","39.594821","-120.244857","3",3,"F",c(-120.244856579704, 39.594821338299)
"202","I",1,"D1161I","39.598871","-120.244870","3",3,"F",c(-120.244870121471, 39.5988712402049)
"203","I",1,"D1162I","39.600221","-120.244875","3",3,"F",c(-120.244874635727, 39.6002212095177)
"204","I",1,"D1163I","39.584022","-120.244820","3",4,"F",c(-120.244820475645, 39.5840216439752)
"205","I",1,"D1164I","39.592125","-120.243100","3",3,"F",c(-120.243099925637, 39.5921248826252)
"206","I",1,"D1165I","39.593475","-120.243104","3",3,"F",c(-120.243104406846, 39.5934748469832)
"207","I",1,"D1166I","39.594825","-120.243109","3",3,"F",c(-120.24310888822, 39.5948248123438)
"208","I",1,"D1167I","39.596175","-120.243113","3",3,"F",c(-120.243113369759, 39.5961747787079)
"209","I",1,"D1168I","39.597525","-120.243118","3",3,"F",c(-120.243117851463, 39.5975247460762)
"210","I",1,"D1169I","39.584025","-120.243073","3",4,"F",c(-120.243073041855, 39.5840251174872)
"211","I",1,"D1170I","39.592128","-120.241352","3",3,"F",c(-120.241352298419, 39.5921283316527)
"212","I",1,"D1171I","39.579979","-120.241312","3",4,"F",c(-120.241312264855, 39.5799786968199)
"213","I",1,"D1172I","39.584029","-120.241326","3",4,"F",c(-120.2413256079, 39.5840285661179)
"214","I",1,"D1173I","39.578632","-120.239561","3",4,"F",c(-120.239560512201, 39.5786321658642)
"215","I",1,"D1175I","39.581346","-120.232580","3",4,"F",c(-120.232579862222, 39.5813455215437)
"216","I",1,"D1176I","39.582695","-120.232584","3",4,"F",c(-120.232584148877, 39.5826954782995)
"217","I",1,"D1177I","39.584045","-120.232588","3",4,"F",c(-120.232588435691, 39.5840454360513)
"218","I",1,"D1179I","39.581349","-120.230832","3",4,"F",c(-120.230832491713, 39.5813488207599)
"219","I",1,"D1181I","39.580002","-120.229081","3",4,"F",c(-120.229080898959, 39.5800021392092)
"220","I",1,"D1182I","39.581352","-120.229085","3",4,"F",c(-120.229085121047, 39.5813520950957)
"221","I",1,"D1185I","39.580005","-120.227334","3",4,"F",c(-120.227333560341, 39.5800053886024)
"222","I",1,"D1186I","39.581355","-120.227338","3",4,"F",c(-120.227337750226, 39.5813553445511)
"223","I",1,"D1188I","39.582709","-120.225595","3",4,"F",c(-120.225594537084, 39.5827085261319)
"224","I",1,"D1189I","39.584058","-120.225599","3",4,"F",c(-120.225598695071, 39.5840584841339)
"225","I",1,"D1190I","39.588121","-120.218621","3",3,"F",c(-120.218621040373, 39.5881210148333)
"226","I",1,"D1191I","39.589471","-120.218625","3",3,"F",c(-120.218625070128, 39.5894709770706)
"227","I",1,"D1192I","39.590821","-120.218629","3",3,"F",c(-120.218629100031, 39.5908209403081)
"228","I",1,"D1193I","39.588124","-120.216874","3",3,"F",c(-120.216873507604, 39.5881241153034)
"229","I",1,"D1194I","39.589474","-120.216878","3",3,"F",c(-120.216877505147, 39.5894740776001)
"230","I",1,"D1195I","39.590824","-120.216882","3",3,"F",c(-120.216881502838, 39.5908240408971)
"231","I",1,"D1196I","39.588127","-120.215126","3",3,"F",c(-120.215125974687, 39.5881271908908)
"232","I",1,"D1197I","39.589477","-120.215130","3",3,"F",c(-120.215129940019, 39.5894771532464)
"233","I",1,"D1198I","39.584080","-120.213367","3",3,"F",c(-120.213366643132, 39.5840803603461)
"234","I",1,"D1199I","39.586780","-120.213375","3",3,"F",c(-120.213374508649, 39.5867802801805)
"235","I",1,"D1200I","39.588130","-120.213378","3",3,"F",c(-120.213378441624, 39.5881302415952)
"236","I",1,"D1201I","39.581383","-120.211611","3",3,"F",c(-120.211611406026, 39.5813834700313)
"237","I",1,"D1202I","39.582733","-120.211615","3",3,"F",c(-120.211615306217, 39.5827334275144)
"238","I",1,"D1203I","39.584083","-120.211619","3",3,"F",c(-120.211619206551, 39.5840833859938)
"239","I",1,"D1204I","39.585433","-120.211623","3",3,"F",c(-120.211623107029, 39.5854333454701)
"240","I",1,"D1205I","39.586783","-120.211627","3",3,"F",c(-120.211627007651, 39.5867833059442)
"241","I",1,"D1206I","39.586786","-120.209880","3",3,"F",c(-120.20987950651, 39.5867863068256)
"242","I",1,"D1207I","39.586789","-120.208132","3",3,"F",c(-120.208132005226, 39.5867892828245)
"243","I",1,"D1208I","39.585442","-120.206381","3",3,"F",c(-120.206380699806, 39.5854422732959)
"244","I",1,"D1209I","39.586792","-120.206385","3",3,"F",c(-120.2063845038, 39.5867922339412)
"245","I",1,"D1210I","39.588142","-120.206388","3",3,"F",c(-120.206388307935, 39.5881421955851)
"246","I",1,"D1211I","39.589492","-120.206392","3",3,"F",c(-120.206392112211, 39.5894921582285)
"247","I",1,"D1212I","39.584095","-120.204629","3",3,"F",c(-120.204629458802, 39.5840952397706)
"248","I",1,"D1213I","39.585445","-120.204633","3",3,"F",c(-120.204633230449, 39.5854451994741)
"249","I",1,"D1214I","39.586795","-120.204637","3",3,"F",c(-120.204637002235, 39.5867951601755)
"250","I",1,"D1215I","39.588145","-120.204641","3",3,"F",c(-120.20464077416, 39.5881451218755)
"251","I",1,"D1216I","39.589495","-120.204645","3",3,"F",c(-120.204644546224, 39.589495084575)
"252","I",1,"D1217I","39.584098","-120.202882","3",3,"F",c(-120.202882021515, 39.5840981410113)
"253","I",1,"D1218I","39.585448","-120.202886","3",3,"F",c(-120.202885760954, 39.5854481007705)
"254","I",1,"D1219I","39.586798","-120.202890","3",3,"F",c(-120.20288950053, 39.5867980615275)
"255","I",1,"D1220I","39.588148","-120.202893","3",3,"F",c(-120.202893240245, 39.5881480232831)
"256","I",1,"D1221I","39.589498","-120.202897","3",3,"F",c(-120.202896980097, 39.5894979860382)
"257","I",1,"D1222I","39.590848","-120.202901","3",3,"F",c(-120.202900720088, 39.5908479497936)
"258","I",1,"D1223I","39.596248","-120.202916","2",4,"F",c(-120.202915681428, 39.5962478148345)
"259","I",1,"D1224I","39.605700","-120.201194","2",2,"F",c(-120.201193916189, 39.6057004945982)
"260","I",1,"D1225I","39.590851","-120.201153","2",4,"F",c(-120.201153121611, 39.5908508264287)
"261","I",1,"D1226I","39.605703","-120.199446","2",2,"F",c(-120.199445963158, 39.6057033469512)
"262","I",1,"D1227I","39.607053","-120.199450","2",2,"F",c(-120.19944964035, 39.6070533228838)
"263","I",1,"D1228I","39.608403","-120.199453","2",2,"F",c(-120.199453317677, 39.6084032998275)
"264","I",1,"D1229I","39.589504","-120.199402","2",4,"F",c(-120.199401847432, 39.5895037143148)
"265","I",1,"D1230I","39.590854","-120.199406","2",4,"F",c(-120.199405522997, 39.59085367818)
"266","I",1,"D1231I","39.605706","-120.197698","2",2,"F",c(-120.197698009992, 39.6057061744152)
"267","I",1,"D1232I","39.608406","-120.197705","2",2,"F",c(-120.197705300056, 39.6084061273999)
"268","I",1,"D1233I","39.589507","-120.197654","2",4,"F",c(-120.197654280896, 39.5895065411281)
"269","I",1,"D1234I","39.590857","-120.197658","2",4,"F",c(-120.197657924249, 39.5908565050475)
"270","I",1,"D1235I","39.608409","-120.195957","2",2,"F",c(-120.195957282301, 39.6084089300824)
"271","I",1,"D1236I","39.589509","-120.195907","2",4,"F",c(-120.195906714225, 39.5895093430581)
"272","I",1,"D1237I","39.608412","-120.194209","2",2,"F",c(-120.194209264412, 39.6084117078749)
