"","type","tier","id","lat","long","t2_opt","t3_opt","elev1","rad1","elev2","rad2","year","cat","seed"
"149","I",2,"A1077I","40.194434","-120.733820",NA,NA,"3","2","2","2","3",3,"F"
"150","I",2,"A1081I","40.195805","-120.730309",NA,NA,"3","2","1","1","3",3,"F"
"151","I",2,"A1083I","40.197155","-120.730323",NA,NA,"3","2","1","2","3",3,"F"
"152","I",2,"A1086I","40.201207","-120.730363",NA,NA,"3","3","1","1","3",3,"F"
"153","I",3,"A1021I","40.265696","-120.785694",NA,NA,"2","3","2","1","3",3,"F"
"154","I",3,"A1022I","40.267047","-120.785708",NA,NA,"2","3","2","2","3",3,"F"
"155","I",3,"A1033I","40.236106","-120.765978",NA,NA,"1","3","1","2","3",3,"F"
"156","I",3,"A1038I","40.233470","-120.755372",NA,NA,"1","1","1","2","3",3,"F"
"157","I",3,"A1043I","40.248358","-120.750236",NA,NA,"1","3","1","1","3",3,"F"
"158","I",3,"A1044I","40.233535","-120.744794",NA,NA,"1","1","2","2","3",3,"F"
"159","I",3,"A1051I","40.222656","-120.757022",NA,NA,"2","3","1","1","3",3,"F"
"160","I",3,"A1053I","40.213224","-120.753399",NA,NA,"1","2","1","2","3",3,"F"
"161","I",3,"A1060I","40.229451","-120.750041",NA,NA,"1","2","2","1","3",3,"F"
"162","I",3,"A1061I","40.211895","-120.749860",NA,NA,"1","2","2","2","3",3,"F"
"163","I",3,"A1063I","40.210555","-120.748083",NA,NA,"1","3","2","1","3",3,"F"
"164","I",3,"A1068I","40.210576","-120.744558",NA,NA,"2","1","1","2","3",3,"F"
"165","I",3,"A1072I","40.211958","-120.739285",NA,NA,"2","2","1","2","3",3,"F"
"166","I",3,"A1075I","40.211969","-120.737522",NA,NA,"2","2","2","2","3",3,"F"
"167","I",3,"A1084I","40.199856","-120.730350",NA,NA,"3","2","1","2","3",3,"F"
"168","I",3,"A1088I","40.198516","-120.728574",NA,NA,"3","2","1","1","3",3,"F"
"169","I",3,"A1089I","40.207970","-120.728669",NA,NA,"3","2","2","2","3",3,"F"
"170","I",3,"A1090I","40.201217","-120.728601",NA,NA,"3","3","1","1","3",3,"F"
"171","C",1,"A1005C","40.239873","-120.836061",NA,NA,"3","2","2","2","3",1,"N"
"172","C",1,"A1006C","40.253420","-120.831180",NA,NA,"4","4","1","1","3",2,"N"
"173","C",1,"A1008C","40.244674","-120.827651",NA,NA,"2","2","1","2","3",1,"F"
"174","C",1,"A1010C","40.250393","-120.825814",NA,NA,"3","2","2","1","3",2,"N"
"175","C",1,"A1016C","40.233102","-120.790664",NA,NA,"1","1","1","2","3",1,"N"
"176","C",1,"A1017C","40.275738","-120.789602",NA,NA,"3","1","2","2","3",1,"N"
"177","C",1,"A1041C","40.244501","-120.750419",NA,NA,"1","4","1","1","3",2,"N"
"178","C",1,"A1045C","40.232910","-120.740408",NA,NA,"1","1","2","1","3",2,"F"
"179","C",1,"A1046C","40.275768","-120.711284",NA,NA,"3","4","2","1","3",2,"N"
"180","C",1,"A1047C","40.270108","-120.681239",NA,NA,"3","2","2","1","3",1,"N"
"181","C",1,"A1079C","40.198540","-120.733692",NA,NA,"2","2","2","1","3",2,"F"
"182","C",1,"A1095C","40.203457","-120.724555",NA,NA,"2","2","1","1","3",2,"F"
"183","C",1,"A1096C","40.224002","-120.722943",NA,NA,"1","2","1","2","3",1,"N"
"184","C",1,"A1099C","40.211319","-120.711951",NA,NA,"2","1","1","1","3",1,"F"
"185","C",1,"A1100C","40.201142","-120.703944",NA,NA,"2","1","2","2","3",2,"F"
